,Unnamed: 0,cik,size,ni,zscore,leverage,prloss,chgdt,cfo,liquidity,mkbk,litigate,reportlag,priorgc,newequity,newdebt,dependence,indexpert,tenure,big4,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,bankruptcy,logmodel_pred,naivebayes_pred,KN_pred,svc_pred,DC_pred,rf_pred,xgb_pred
17,17,4187,2.9859344310000004,0.506,-3.8485998169999998,0.777884373,1,0.0,-0.09028023199999999,0.070487251,0.9550806999999999,0,89,0,0.098863923,0.07573845,0.108095879,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
18,18,4317,2.1278744990000003,-0.111,-3.4621397430000003,0.416577349,1,0.0,-0.035607955,0.28367274,10.81759543,0,77,0,1.015124449,0.26009289,1.0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
19,19,4457,8.244246288,-24.986,0.0,0.913957767,0,-0.18506408600000002,0.019583957,0.0,0.2512234,0,147,0,0.011032496999999999,0.218614298,0.507621645,0,0.693147181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,False
20,20,4515,10.017797900000001,-469.0,-2.175506581,1.2825796090000001,1,-0.060616617000000005,0.046829007,0.007358844,0.0,0,47,0,4.46e-08,0.10623494800000001,0.034414282000000004,1,2.48490665,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True
21,21,5016,9.70549212,-32.125,0.0,0.893590676,1,0.0,0.028404437,0.026650236,0.0,0,89,0,0.00064562,0.015827545,0.217307235,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
22,22,5117,2.925148852,-1.321,-4.0204381719999995,0.9019155440000001,1,0.0,0.136288029,0.11257176599999999,3.268873085,0,104,0,0.37988946700000004,0.0,1.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
23,23,5187,9.956671194,-2370.687,-3.172464339,0.8663933840000001,1,0.0,0.026309963,0.125367323,29.58143599,1,75,0,0.062608611,0.332211321,0.132148142,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
24,24,5981,4.19103258,4.311,-2.7318477260000003,0.556853429,1,0.0,-0.020653341999999998,0.005462166,1.1340924609999998,0,92,0,0.047207637999999996,0.0,0.058378867,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
25,25,6019,1.00759289,-3.285,1.0649285259999999,2.2018985030000002,1,0.0,-0.032128514,0.9788243879999999,-44.44228433,0,103,0,0.0,0.0,0.0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
26,26,6201,10.13014492,-471.0,-1.7336267419999998,1.157246492,1,-0.052283985,0.04946588,0.006696429,-0.658447529,0,47,0,0.013600446,0.102399554,0.038749352,1,2.48490665,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True
27,27,6260,5.3366626969999995,-47.49100000000001,-1.800569034,2.337357688,1,0.0,0.08895283400000001,0.11696773099999999,-0.0020962339999999998,1,66,1,0.019420839,0.0,0.0,0,1.098612289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True
28,28,6383,3.614102027,-0.987,-2.389212016,0.588824829,1,0.0,0.112263592,0.049948812,2.251991875,0,91,0,0.055660327,0.0053882209999999995,1.0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
29,29,6494,3.855939308,-9.574,-3.33602102,0.091447549,1,0.0,-0.141306877,0.193598883,0.679529686,1,89,0,0.344996087,0.0,0.001866714,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
30,30,6814,5.646908726,2.387,-0.431096324,0.836373644,1,0.0,-0.04044966,0.017430332,0.628656144,0,86,0,0.0,0.0,0.0018068239999999998,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
31,31,6992,5.133377863,-8.222999999999999,0.067990614,1.05816415,1,0.0,0.015873671000000002,0.043198557,0.0,0,90,0,0.0,0.0,0.0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
32,32,7039,4.0535052060000005,-3.903,-3.236402835,0.496293338,1,0.0,0.007413323,0.002760465,0.242618826,0,106,0,0.389451206,0.0,0.025930584,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
33,33,7332,6.5587338289999995,-46.687,0.0,0.799694632,1,0.0,-0.075424808,0.003382584,1.84904134,0,89,0,0.039323597,0.0,0.287496677,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
34,34,7536,8.936500848,357.931,-2.29630322,0.7483414190000001,1,0.0,-0.044242907000000005,0.00730432,1.4719884230000002,0,89,0,0.013657103,0.08790234699999999,0.024350162,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
35,35,7623,2.370897733,-2.166,-2.527011989,0.621369198,1,0.0,0.11002148099999999,0.000373587,0.9488159840000001,0,91,0,0.12515177,0.0,0.09098201199999999,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
36,36,8302,2.222892324,-1.6440000000000001,-3.5350099160000004,0.856616851,1,0.0,-0.06302794,0.012887156,0.503776435,0,135,0,0.656486896,0.0,0.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
37,37,8328,1.399704048,-3.7880000000000003,-0.08327412099999999,0.043660582,1,0.0,-0.33793783899999996,0.5466206220000001,12.22269796,0,90,0,12.64824864,0.193142575,0.057407343,0,0.693147181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
38,38,8598,2.098385958,-0.875,-2.371030926,0.55022691,1,0.0,-0.06279897,0.147430394,2.044041451,0,123,0,0.612903226,0.0039249359999999995,0.025275104,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
39,39,8858,8.564907539,145.141,-2.370503382,0.637329853,1,0.0,-0.09456053199999999,0.031880373999999996,1.376321879,0,89,0,0.0,0.0,0.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
40,40,9096,3.769468167,-3.0660000000000003,-1.855252967,0.619853772,1,0.0,0.051502640999999995,0.02260304,0.294005582,0,86,0,0.049818945,0.09488663900000001,1.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
41,41,9235,4.892219558,-51.121,-2.611752415,0.24854220300000002,1,0.0,0.065126192,0.167115701,0.0,0,92,0,0.049538833,0.0,0.001604485,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
42,42,9346,6.313845103999999,19.75,0.0,0.467549496,1,0.0,-0.006912801,0.0,0.929239796,0,86,0,0.021877558,0.0,0.004333598,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
43,43,9631,12.59939769,1797.0,0.0,0.9436905320000001,1,0.0,-0.010287469,0.06840205099999999,1.385889951,0,117,0,0.001705085,0.0,0.0,0,0.693147181,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
44,44,10242,1.0274742609999998,-9.264,10.61365883,0.359341446,1,0.0,-1.5254115959999999,0.824624195,0.30245810100000003,0,92,0,1.9223335719999999,0.0,0.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
45,45,10254,6.11232728,-28.834,-3.912818843,0.298767358,1,0.0,0.1678999,0.222529177,1.0271524159999998,0,86,0,0.030683137000000003,0.0,0.664489034,0,0.693147181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False
46,46,11454,8.427580033,-752.8380000000001,-1.872353437,0.841789123,1,0.0,0.027697496000000002,0.020569521,2.178152199,0,90,0,0.0,0.0,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
47,47,11544,8.521597478,36.238,0.0,0.8580718709999999,1,0.0,-0.002643332,0.061554498,0.0,0,82,0,0.008622739,0.0,0.013629737,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
48,48,11856,2.5684049190000002,-4.646,1.078327815,1.168187045,1,0.0,0.076044461,0.0009198930000000001,-0.8809936190000001,0,212,0,0.0,0.0,0.487337284,1,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
49,49,11860,8.606485299,-118.4,-3.3567350339999997,0.795134443,1,0.0,0.052606547999999996,0.02006585,0.20277035699999998,0,31,0,0.02483629,0.07477592799999999,0.008980412,1,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True,True,False
50,50,12180,4.123029196,-8.73,-3.289398667,0.877287598,1,0.0,-0.045039355,0.03271467,4.18829352,0,103,0,0.0,0.0,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True,False,False
51,51,12388,-0.025317807999999997,-0.588,-1.616010256,0.923076923,1,0.0,-0.481025641,0.252307692,4215.657333,0,105,0,68.30974359,0.0,0.0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
52,52,12570,3.958276622,-6.959,-3.656500851,1.686329177,1,-0.007365907,0.100788665,0.0040483509999999995,-0.03493225,0,137,1,0.09590009,0.0,0.29257438,0,0.693147181,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True
53,53,13033,-5.521460918,-0.62,695.0235789,9.5,1,0.0,-0.5,1.0,0.0,0,92,0,0.0,0.0,0.0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
54,54,13055,-1.184170177,-1.962,24.59367221,12.56535948,1,0.0,-1.859477124,0.026143791,-0.291918621,0,106,0,7452.509804,0.0,1.0,0,0.693147181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
55,55,13239,7.581209826,-162.0,7.084014417000001,2.485976543,1,-1.661897949,-0.01172871,0.057623661,0.0,0,101,0,0.0,0.0,0.220773475,1,2.7080502010000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,True,True,True,True,True,True,True
56,56,13547,2.388579286,-1.765,-2.815303262,0.41576436,1,0.0,-0.25087172,0.032483024,1.550416209,0,89,0,0.6834281520000001,0.018627271,0.278639978,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
57,57,14280,5.5020089489999995,-75.673,-1.960954345,0.48023525200000006,1,0.0,-0.049632113,0.040394152999999995,1.045252593,0,105,0,0.139274993,0.013365472,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
