,Unnamed: 0,cik,size,ni,zscore,leverage,prloss,chgdt,cfo,liquidity,mkbk,litigate,reportlag,priorgc,newequity,newdebt,dependence,indexpert,tenure,big4,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year,bankruptcy,rf_pred,log_pred
256,59451,931085,2.887757232,-5.231,-2.470697839,0.706232942,1,0,0.123266306,0.147440539,1.341505499,0,90,0,0,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,TRUE,FALSE,FALSE
268,63496,1002022,4.469476457,-171.207,12.05191399,1.75855276,1,0,-0.323063532,0.292723712,-0.183666012,0,122,0,0.137428274,0.071651911,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,TRUE,TRUE,FALSE
269,63525,1002135,5.836476016,-8.182,-4.081935436,0.183632542,1,0,-0.064973582,0.079569139,6.750826173,1,462,0,0.179490323,0.082902764,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
270,63754,1002717,6.061466243,40.247,-3.056352488,0.529423968,1,0,-0.177716292,0.385073333,0,0,96,0,0.242261144,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
291,67224,1017047,3.578059619,-12.461,-2.773162016,0.340799911,1,0,0.042425427,0.079097308,0.601262605,0,90,0,0.384342532,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
290,67132,1016608,4.242462798,-0.578,-3.216653032,0.596947355,1,0,-0.002759453,0.018482588,1.291035516,0,91,0,0.139999138,0.014372153,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
289,67025,1016243,4.487872033,-22.799,-3.169256133,0.308921423,1,0,-0.19781406,0.13533936,3.496856441,0,92,0,0.36290649,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
288,66994,1016178,6.040538004,-1.135,0,0.922305347,1,0,0,0.02594979,0.620308814,0,111,0,0.005507963,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
287,66869,1015920,3.566542314,-1.355,-3.732647067,0.235322371,1,0,-0.069616319,0.374781036,15.1014225,0,87,0,0.476493191,0.01087755,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
286,66527,1014618,-1.924148657,-0.832,22.23100593,2.301369863,1,0,-2.767123288,0.212328767,-32.40947368,0,91,0,193.1369863,5.554794521,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
285,66480,1014343,0.573800423,-1.04,-1.732236936,0.10028169,1,0,-0.281126761,0.04,1.412711334,1,90,0,5.233802817,0.311549296,1,1,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
284,66069,1013021,6.77556356,-16.589,0,0.963111166,1,0,0.103013903,0.026449115,0,0,90,0,0,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
283,65909,1012130,-0.164874643,-2.832,22.87361204,7.379716981,1,0,-2.079009434,0.053066038,-20.38669131,0,140,0,55.19457547,1.116745283,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
282,65584,1011060,1.426476151,-3.814,2.872365169,0.983669549,1,0,-0.557636888,0.430595581,364.7529412,0,105,0,2.045389049,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
281,65054,1008586,2.689139176,-3.247,-1.034841319,0.822474353,1,0,0.040084245,0.367688022,4.227898967,0,80,0,0.604388885,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
280,64939,1007021,2.644329124,-9.619,-1.266810577,0.260835583,1,0,-0.646227085,0.870470371,1.454513121,0,63,0,0.154469234,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
279,64669,1005967,5.93240963,-51.649,-0.27005512,0.688191862,1,0,0.012101458,0.14669736,1.30092795,1,70,0,0,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
278,64449,1005268,4.943782987,-8.34,-1.463379929,0.664490378,1,0,0.051119031,0.012922309,1.130621176,0,106,0,0.178510335,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
277,64349,1004991,2.420545891,-21.927,4.452239608,0.464095272,1,0,-0.510309278,0.035993601,14.68648425,0,90,0,0,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
276,64318,1004981,4.644025448,-13.315,0,0.193176353,1,0,-0.182037668,0.522623651,0.258041941,0,105,0,0.379177007,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
275,64282,1004963,5.0714795,-18.643,-2.070527288,0.460636096,1,0,-0.045775045,0.030073396,1.018438009,0,105,0,0,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
274,64055,1003740,3.434761099,-6.232,-3.549690604,0.027752708,1,0,-0.429280557,0.495261733,7.865732852,0,417,0,1.071074007,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
273,64026,1003640,2.377785326,-1.677,-3.544735997,0.181059271,1,0,-0.139226417,0.432149151,3.084539585,1,90,0,0.642983026,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
272,63938,1003383,2.901970894,-8.639,-0.065670975,0.589291598,1,0,-0.273036793,0.06501922,21.82916165,0,90,0,1.059088413,0.054914882,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
271,63901,1003226,1.711994501,-5.523,0.312714236,1.173465704,1,0,-0.516787004,0.924909747,-249.819667,0,333,0,3.238086643,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
