,size,ni,zscore,leverage,prloss,chgdt,cfo,liquidity,mkbk,litigate,reportlag,priorgc,newequity,newdebt,dependence,indexpert,tenure,big4,rf_model
286,-1.924148657,-0.8320000000000001,22.23100593,2.301369863,1,0.0,-2.767123288,0.212328767,-32.40947368,0,91,0,193.13698630000002,5.554794521,0.0,0,0.693147181,0,False
285,0.573800423,-1.04,-1.7322369359999998,0.10028169,1,0.0,-0.281126761,0.04,1.4127113340000002,1,90,0,5.233802817,0.31154929600000003,1.0,1,0.693147181,0,False
284,6.77556356,-16.589000000000002,0.0,0.9631111659999999,1,0.0,0.103013903,0.026449115,0.0,0,90,0,0.0,0.0,0.0,0,0.693147181,1,False
283,-0.16487464300000002,-2.832,22.87361204,7.3797169810000005,1,0.0,-2.079009434,0.053066037999999996,-20.38669131,0,140,0,55.19457547,1.116745283,0.0,0,0.693147181,0,False
282,1.426476151,-3.8139999999999996,2.8723651689999996,0.983669549,1,0.0,-0.557636888,0.430595581,364.7529412,0,105,0,2.045389049,0.0,0.0,0,0.693147181,0,False
281,2.6891391760000003,-3.247,-1.034841319,0.8224743529999999,1,0.0,0.040084245,0.367688022,4.227898967,0,80,0,0.604388885,0.0,0.0,0,0.693147181,1,False
280,2.644329124,-9.619,-1.266810577,0.260835583,1,0.0,-0.646227085,0.8704703709999999,1.454513121,0,63,0,0.154469234,0.0,0.0,0,0.693147181,1,False
279,5.93240963,-51.648999999999994,-0.27005512,0.688191862,1,0.0,0.012101458,0.14669736,1.30092795,1,70,0,0.0,0.0,0.0,0,0.693147181,1,False
278,4.943782987,-8.34,-1.463379929,0.664490378,1,0.0,0.051119030999999995,0.012922309,1.130621176,0,106,0,0.178510335,0.0,0.0,0,0.693147181,0,False
277,2.4205458909999997,-21.927,4.452239608,0.464095272,1,0.0,-0.5103092779999999,0.035993601,14.68648425,0,90,0,0.0,0.0,0.0,0,0.693147181,0,False
276,4.644025448,-13.315,0.0,0.193176353,1,0.0,-0.182037668,0.522623651,0.258041941,0,105,0,0.379177007,0.0,0.0,0,0.693147181,0,False
275,5.0714795,-18.643,-2.070527288,0.460636096,1,0.0,-0.045775045,0.030073396000000002,1.018438009,0,105,0,0.0,0.0,0.0,0,0.693147181,0,False
274,3.4347610989999997,-6.232,-3.549690604,0.027752707999999997,1,0.0,-0.429280557,0.495261733,7.865732852000001,0,417,0,1.071074007,0.0,0.0,0,0.693147181,0,False
273,2.377785326,-1.6769999999999998,-3.544735997,0.18105927100000002,1,0.0,-0.139226417,0.432149151,3.084539585,1,90,0,0.642983026,0.0,0.0,0,0.693147181,0,False
272,2.9019708939999997,-8.639,-0.065670975,0.589291598,1,0.0,-0.273036793,0.06501922,21.82916165,0,90,0,1.059088413,0.054914882000000005,0.0,0,0.693147181,1,False
271,1.711994501,-5.523,0.31271423600000003,1.173465704,1,0.0,-0.516787004,0.9249097470000001,-249.81966699999998,0,333,0,3.238086643,0.0,0.0,0,0.693147181,0,False
246,5.249394944,2.6510000000000002,-2.305641033,0.7406366990000001,1,0.0,-0.10619529400000001,0.014318643999999998,0.0,1,129,0,0.14856314699999998,0.603976876,0.0,0,0.693147181,1,False
292,2.830621753,-4.861000000000001,1.193637279,1.081917905,1,0.0,-0.104741684,0.23920736,-143.09107269999998,0,150,0,1.6920853969999998,0.34795942399999996,0.0,0,0.693147181,0,False
245,5.779798625,-73.143,-0.9518494590000001,0.648368521,1,0.0,0.026321155,0.018505131,1.410594706,0,93,0,0.0,0.0,0.0,0,0.693147181,0,False
243,2.49823411,-5.178999999999999,-1.469537951,0.6370364279999999,1,0.0,-0.013814653,0.285420607,8.380154055,1,91,0,0.6861277859999999,0.209028863,0.0,0,0.693147181,1,False
217,4.9477948860000005,-2.668,-1.7795946980000001,0.613875795,1,0.0,0.097114948,0.013949625,0.67131143,0,90,0,0.060611654,0.049153794,0.0,0,0.693147181,1,False
216,3.2168738219999997,0.223,-4.368400741,0.35931863700000005,1,0.0,-0.01743487,0.042284569,4.386693775,0,90,0,0.205851703,0.0,0.0,0,0.693147181,0,False
215,3.580625869,1.115,-1.9513996009999999,0.712892801,1,0.0,-0.028749721000000002,0.001225763,0.801271104,1,91,0,0.207989748,0.075356586,0.0,0,0.693147181,0,False
214,3.862391487,3.719,0.0,0.21799533399999999,1,0.0,-0.18726749199999998,0.048004372000000003,2.2647835080000003,0,94,0,0.238823851,0.099665819,0.0,0,0.693147181,0,False
213,1.6170091780000002,-2.136,-2.378529844,0.362643906,1,0.0,-0.167923779,0.23957919800000002,8.781345375,1,201,0,0.0,0.0,0.0,0,0.693147181,0,False
212,0.41277168299999994,-1.035,-1.250289003,0.835208471,1,0.0,-0.553275976,0.908007942,51.43654618,0,91,0,46.76307081,0.0,0.0,0,0.693147181,0,False
211,-0.7614260209999999,-1.96,14.6001114,2.269807281,1,0.0,-0.796573876,0.22912205600000002,-30.307925800000003,0,92,0,64.99571734,0.0,0.0,0,0.693147181,1,False
210,1.7227665980000002,-1.349,-2.68421595,0.24196428600000003,1,0.0,-0.217857143,0.277321429,3.518845701,0,90,0,1.07875,0.0,0.0,0,0.693147181,0,False
209,4.592753416,5.459,0.0,0.623757163,1,0.0,-0.037806532999999996,0.081880404,0.400236814,0,90,0,0.059251159000000005,0.08925136199999999,0.0,0,0.693147181,0,False
218,5.0266923530000005,-8.945,0.0,0.0,1,0.0,0.080378933,0.22339071600000002,0.0,0,73,0,0.442950114,1.5889928359999999,0.0,0,0.693147181,1,False
208,1.515346989,-0.884,1.5466403659999999,1.439903318,1,0.0,-0.036255768,0.016919358,-0.614285714,0,101,0,4.567787299,0.0,0.0,0,0.693147181,0,False
206,4.798563557,-8.101,-3.57378995,0.371151183,1,0.0,0.15049944,0.34690446399999997,2.3365993030000003,0,89,0,0.204654843,0.0,0.0,0,0.693147181,1,False
205,3.5889762419999998,-0.8740000000000001,-2.7425534889999996,0.648976435,1,0.0,0.031715336000000004,0.030582645,1.1349756020000001,0,90,0,0.13874078,0.0,0.0,0,0.693147181,1,False
204,4.889371207,-20.447,-3.123145132,0.23329570300000002,1,0.0,-0.13139911199999998,0.263422895,2.3320186119999997,0,89,0,0.10200195699999999,0.0,0.0,0,0.693147181,1,False
203,4.583180168,-0.5539999999999999,-4.310447759,0.705484283,1,0.0,-0.182724252,0.11514439,0.565211204,0,87,0,0.053248147,0.0,0.0,0,0.693147181,1,False
202,1.7163172740000001,-2.4419999999999997,0.546127731,0.9327821709999999,1,0.0,-0.433141625,0.267433501,71.71898396,0,387,0,5.889827462,0.11358734699999999,0.0,0,0.693147181,0,False
201,1.828412787,-11.434000000000001,3.9376129310000003,0.257712082,1,0.0,-0.52779563,0.738271208,32.29794372,1,90,0,0.9567802059999999,0.0,0.0,0,0.693147181,1,False
200,0.277631737,-1.2990000000000002,0.103566928,1.540151515,1,0.0,-0.514393939,0.16439393900000002,-33.74053296,0,263,0,2.179545455,0.536363636,0.0,0,0.693147181,0,False
199,2.6460329430000002,-0.5770000000000001,-3.710887117,0.486664775,1,0.0,-0.117250674,0.145339765,18.16299572,0,90,0,1.142147822,0.070932047,0.0,0,0.693147181,1,False
198,5.517107455,-17.598,-4.103021084,0.032019091,1,0.0,-0.081791301,0.509886949,3.6448614619999997,1,88,0,0.081518115,0.0,0.0,0,0.693147181,1,False
207,5.502624624,-7.665,-2.732154823,0.52311737,1,0.0,0.053649092,0.015289298,0.580822421,0,88,0,0.047722502,0.008152119000000001,0.0,0,0.693147181,1,False
219,2.310652464,-3.95,-2.500406546,0.08987203699999999,1,0.0,-0.382600932,0.9406804879999999,17.64461035,0,89,0,3.126376352,0.0,0.0,0,0.693147181,1,False
